,gn,gnr,t
0,1.0,0.981283837178,0.0
1,0.99878095821,0.980028441498,1e-07
2,0.998622711009,0.979865547558,1.13e-07
3,0.998476683203,0.979715240099,1.25e-07
4,0.998318536797,0.979552468891,1.38e-07
5,0.998172601985,0.979402283243,1.5e-07
6,0.998014556273,0.979239638237,1.63e-07
7,0.997868714365,0.97908956103,1.75e-07
8,0.997710769248,0.978927038158,1.88e-07
9,0.997565020149,0.978777072107,2e-07
10,0.997261519148,0.97846481454,2.25e-07
11,0.996958211167,0.978152785423,2.5e-07
12,0.996655096017,0.977840982068,2.75e-07
13,0.996352173506,0.977529404438,3e-07
14,0.996049443443,0.977218049203,3.25e-07
15,0.995746905636,0.976906916644,3.5e-07
16,0.995444559897,0.976596004939,3.75e-07
17,0.995142406035,0.976285313166,4e-07
18,0.994538673181,0.975664582493,4.5e-07
19,0.993935705559,0.975044721205,5e-07
20,0.993333501656,0.97442571789,5.5e-07
21,0.992732059965,0.973807573512,6e-07
22,0.992131378982,0.973190276365,6.5e-07
23,0.991531457207,0.972573824517,7e-07
24,0.990932293145,0.971958213319,7.5e-07
25,0.990333885303,0.97134343771,8e-07
26,0.989139332336,0.970116380668,9e-07
27,0.987947786452,0.968892626547,1e-06
28,0.986759235864,0.967672146792,1.1e-06
29,0.985573668843,0.966454917839,1.2e-06
30,0.984391073728,0.965240919115,1.3e-06
31,0.983211438918,0.964030127646,1.4e-06
32,0.982034752873,0.962822523281,1.5e-06
33,0.980861004117,0.961618087959,1.6e-06
34,0.978522272865,0.959218652404,1.8e-06
35,0.976195154559,0.956831675919,2e-06
36,0.973879559555,0.954457034843,2.2e-06
37,0.971575399152,0.952094597751,2.4e-06
38,0.969282585585,0.949744250582,2.6e-06
39,0.967001032006,0.947405875037,2.8e-06
40,0.964730652478,0.945079356569,3e-06
41,0.962471361958,0.942764601771,3.2e-06
42,0.957985712181,0.938169926746,3.6e-06
43,0.953543419806,0.933621044278,4e-06
44,0.94914383556,0.929117177053,4.4e-06
45,0.944786323411,0.924657581493,4.8e-06
46,0.940470260221,0.920241539352,5.2e-06
47,0.936195035422,0.91586838218,5.6e-06
48,0.931960050691,0.911537346662,6e-06
49,0.927764719635,0.90724786432,6.4e-06
50,0.919490730858,0.898790932236,7.2e-06
51,0.911368605397,0.890492629993,8e-06
52,0.90339405212,0.882348275678,8.8e-06
53,0.895562944038,0.874353391483,9.6e-06
54,0.887871310392,0.866503699415,1.04e-05
55,0.880315329196,0.858795098302,1.12e-05
56,0.872891320212,0.85122365521,1.2e-05
57,0.865595738317,0.843785594514,1.28e-05
58,0.851376313729,0.829295249288,1.44e-05
59,0.83763116773,0.81529698382,1.6e-05
60,0.824336208627,0.801764423737,1.76e-05
61,0.811468985122,0.788674930767,1.92e-05
62,0.799008546801,0.776006202643,2.08e-05
63,0.786935318797,0.763737742436,2.24e-05
64,0.775230988959,0.751850401671,2.4e-05
65,0.763878406079,0.740326277301,2.56e-05
66,0.742165137981,0.718301607516,2.88e-05
67,0.721678239074,0.697541565594,3.2e-05
68,0.70231394927,0.677938221507,3.52e-05
69,0.683980105459,0.659395816696,3.84e-05
70,0.666594544141,0.641829065221,4.16e-05
71,0.650083763618,0.625161730568,4.48e-05
72,0.634381797439,0.609325439408,4.8e-05
73,0.6194292609,0.594258677009,5.12e-05
74,0.591563099237,0.566216998809,5.76e-05
75,0.5661138196,0.540652398421,6.4e-05
76,0.542774063494,0.517247191335,7.04e-05
77,0.521287179843,0.495736329157,7.68e-05
78,0.501437080163,0.475896843242,8.32e-05
79,0.483040453354,0.457539739793,8.96e-05
80,0.465940720075,0.440503717755,9.6e-05
81,0.450003286983,0.424650240864,0.0001024
82,0.421165055544,0.396027962886,0.0001152
83,0.39576324299,0.37088961431,0.000128
84,0.373211174116,0.348633675597,0.0001408
85,0.353049745552,0.328790139857,0.0001536
86,0.334914309166,0.310986496933,0.0001664
87,0.318511413101,0.294923317707,0.0001792
88,0.303602126035,0.280357418208,0.000192
89,0.289989860668,0.267089233735,0.0002048
90,0.266029769911,0.243810596336,0.0002304
91,0.245612885137,0.224056254319,0.000256
92,0.228004681799,0.207084696606,0.0002816
93,0.212661561255,0.192350856047,0.0003072
94,0.199172350268,0.17944358039,0.0003328
95,0.187220134532,0.168045858811,0.0003584
96,0.176556612573,0.157909604845,0.000384
97,0.166984415511,0.14883800884,0.0004096
98,0.150507890464,0.133286546969,0.0004608
99,0.136835670059,0.120451456847,0.000512
100,0.125311528376,0.109692282506,0.0005632
101,0.115469374782,0.100551798084,0.0006144
102,0.106968922859,0.0926958951088,0.0006656
103,0.0995558634393,0.0858754308156,0.0007168
104,0.0930362885081,0.0799011631507,0.000768
105,0.0872597446264,0.0746269382413,0.0008192
106,0.0774854824572,0.0657445520005,0.0009216
107,0.0695385222939,0.058571573044,0.001024
108,0.0629571910216,0.0526757358428,0.0011264
109,0.0574226769925,0.0477545662852,0.0012288
110,0.0527077891072,0.0435914569245,0.0013312
111,0.04864629807,0.0400282057043,0.0014336
112,0.0451138143549,0.0369469310097,0.001536
113,0.042015435042,0.0342582308595,0.0016384
114,0.0368420682542,0.0297979470065,0.0018432
115,0.0327023183061,0.026254404473,0.002048
116,0.0293210953375,0.0233760909665,0.0022528
117,0.0265122628427,0.020995001842,0.0024576
118,0.0241454829516,0.0189966962003,0.0026624
119,0.0221268456919,0.0173019050032,0.002867199
120,0.020386989321,0.0158508055466,0.003071999
121,0.0188736467734,0.0145974270637,0.003276799
122,0.0163747958413,0.0125488809146,0.003686399
123,0.0144021126713,0.0109527065549,0.004096
124,0.0128099925724,0.00967932201581,0.004505599
125,0.0115013127114,0.0086430876134,0.004915199
126,0.0104089525678,0.00778552424312,0.005324799
127,0.00948510978344,0.00706551681961,0.005734399
128,0.00869487338046,0.00645341876222,0.006143999
129,0.00801219017916,0.00592737310842,0.006553599
130,0.00689473678897,0.00507156586587,0.007372799
131,0.00602142019667,0.00440695345405,0.008191999
132,0.00532235287143,0.00387732837329,0.009011199
133,0.00475160944669,0.00344628481383,0.009830398
134,0.00427785678934,0.00308927292459,0.0106496
135,0.00387904604382,0.00278917771406,0.0114688
136,0.00353923816874,0.00253372083548,0.012288
137,0.00324664885574,0.00231387807055,0.0131072
138,0.00276964232249,0.00195554099941,0.0147456
139,0.00239852928913,0.00167662482977,0.016384
140,0.00210259489575,0.00145396170754,0.0180224
141,0.00186182921072,0.00127248641142,0.0196608
